query,gold_answer,source_file,parser_type,field
"""政府委托工程及回购资金管理不规范"" 的整改措施是什么？",强化内部管控机制，修订合同变更管理制度，严格按照交易规则，规范开展合同变更。建立长效机制，严格执行《GW湖北省电力有限公司电源接入和电网互联前期工作管理实施细则》（鄂电司发展〔2025〕 9 号），超前储备需求、提速前期建设，确保变电站间隔及站内设备全部由公司投资建设。积极推动存量工程回购，制定年度回购计划，力争到 2026 年底对具备条件的项目做到“应回购、尽回购、合规回购”。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""政府委托工程及回购资金管理不规范"" 的监管依据是什么？",电力监管机构对供电企业执行国家规定的成本规则的情况实施监管。《供电监管办法》第21条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""政府委托工程及回购资金管理不规范"" 的问题描述是什么？",部分单位对已列入延伸投资和资产回购项目存在无法保障资金需求；部分单位存在公司代政府垫资费用及政府资金长期挂账情况。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""故障抢修服务时效性不高"" 的印证资料包括哪些？",（1）《关于加强中压发电车调拨管理的通知》； （2）《GWjz供电公司关于进一步加强jz配网抢修管控的通知》； （3）《供电服务日报》抢修工单相关通报； （4）《供电服务日报》抢修工单相关通报； （5）《服务管控周报》抢修工单相关通报； （6）《供电服务指挥运营月报》抢修工单相关通报； （7）《供电单位优质服务重点工作考核指标评分表》； （8）供电服务指挥系统查询抢修故障工单相关信息； （9）故障报修处理不规范明细及问题分析； （10）故障抢修不规范、不及时、到达现场超时等情况的考核印证资料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""故障抢修服务时效性不高"" 的整改措施是什么？","科学优化网格化抢修布点，强化抢修力量,坚持“先复电、后抢修”的原则，加强中压发电车调拨管理，增强故障抢修中发电保供支撑能力。完善故障报修工单评价考核机制，做到日通报、月考核。",zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""故障抢修服务时效性不高"" 的监管依据是什么？",电力监管机构对供电企业实施停电、限电或者中止供电以及处理供电故障的的情况进行监管。《供电监管办法》第13条、第14条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""故障抢修服务时效性不高"" 的问题描述是什么？",故障抢修服务机制不完善，存在抢修不及时、到达现场超时等情况。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""新能源优化调度不科学"" 的印证资料包括哪些？",（1）新能源应急调度序位表； （2）压限新能源出力的调度运行记录； （3）新能源电站现货免考核申请及佐证材料； （4）新能源场站AGC闭环运行参数定值单。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""新能源优化调度不科学"" 的整改措施是什么？",调整新能源现货出清下限设置，确保限电容量不低于新能源场站可调节下限。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""新能源优化调度不科学"" 的监管依据是什么？",电力监管机构对消纳责任权重和重点行业绿色电力消费比例完成情况开展监管。《关于2025年可再生能源电力消纳责任权重及有关事项的通知》第六条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""新能源优化调度不科学"" 的问题描述是什么？",电网企业未根据实际情况对新能源进行科学调度，新能源限电不规范，限电容量低于新能源场站可调节下限。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""未建立频繁停电问题清单"" 的印证资料包括哪些？",（1）《GWjz供电公司关于开展10千伏频繁停电线路闭环治理的通知》； （2）《GWjz供电公司关于印发供电服务考核规范（试行）的通知》； （3）编制《jz供电公司近三年因专变故障引发越级停电的专题报告》； （4）10千伏频繁停电线路清单明细表； 《供电服务监管日报》中通报的频繁停电案例及整治情况。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""未建立频繁停电问题清单"" 的整改措施是什么？",建立jz10kV线路停电明细库，定期对频繁停电线路、台区、用户开展通报，对频繁停电典型问题，纳入《供电服务监管日报》，跟踪治理质效，按周发布负面案例整改情况报告。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""未建立频繁停电问题清单"" 的监管依据是什么？",电力监管机构对供电企业的供电质量实施监管。《供电监管办法》第7条。《国家能源局综合司关于巩固专项整治成效持续推进频繁停电治理的通知》（国能综通监管〔2023〕121号）。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""未建立频繁停电问题清单"" 的问题描述是什么？",未动态建立10千伏频繁停电线路清单明细表，对典型频繁停电问题，没有落实整改效果。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""民生用电薄弱区域综合治理欠缺"" 的印证资料包括哪些？",《省能源局省住建厅省市场监管局关于印发湖北省城镇建设住宅和工商业电力设施建设指南的通知》（鄂能源调度〔2022〕16）； （2）全量非电网直供电住宅小区供配电设施基础信息台账； （3）“临代正”小区台账；（4）“转改直”统计台账及竣工验收资料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""民生用电薄弱区域综合治理欠缺"" 的整改措施是什么？",推动出台居民住宅供配电设施建设地方标准，协同地方政府建立“联审联验”机制，提级管控新住配供电方案，确保新建小区双电源配置规范、车位100%预留充电桩安装条件。严格执行充电设施报装指南接入标准，落实国家充电桩三年倍增计划相关要求。制定非电网直供小区改造计划，促请政府利用“两新”资金等支持新政策，有序推进城中村、老旧小区、非直供直供电小区、“临代正”小区改造，力争在2026年全面消除“临代正”小区，在“十五五”期间全面完成辖区内非电网直供小区改造。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""民生用电薄弱区域综合治理欠缺"" 的监管依据是什么？",电力监管机构对供电企业履行电力社会普遍服务义务及电价政策和收费标准的情况实施监管。《供电监管办法》第10条、第19条、第34条、第36条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""民生用电薄弱区域综合治理欠缺"" 的问题描述是什么？",未积极推动地方政府健全完善新建居民小区公共基础设施建设相关制度规范，新建小区双电源配置不到位；未及时向地方政府汇报推动解决“临代正”等问题，未与政府建立城中村、老旧小区、临代正、非电网直供电小区等民生用电薄弱区域综合治理机制，承担社会责任落实兜底服务要求不够。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""源网协调发展不匹配"" 的印证资料包括哪些？",新能源消纳分析报告； （2）十五五电网发展规划问题清单。 （三）电力市场规范运行方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""源网协调发展不匹配"" 的整改措施是什么？",加强新能源配套电源送出项目协调工作，保障新能源消纳。同时引导新型储能业主优先在新能源集中地区布局，缓解新能源送出通道压力。积极协同发展部推动工程建设，提高卡口区域新能源外送能力，消除设备反送重过载问题，满足新能源汇集送出需求。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""源网协调发展不匹配"" 的监管依据是什么？",电力监管机构对供电企业保障供电安全的情况实施监管。《供电监管办法》第9条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""源网协调发展不匹配"" 的问题描述是什么？",新能源和电网项目建设时序协调不足、衔接不到位。部分片区新能源集中开发布局，负荷低谷期间新能源反送造成设备重过载，影响消纳。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""用户受电工程“三指定”"" 的印证资料包括哪些？",《GW湖北省电力有限公司关于印发用户受电工程“三指定”典型行为检查认定及结果定级处理标准的通知》（鄂电司营销〔2025〕5号）； 《GWjz供电公司关于开展“三指定”问题治理行动的通知》（鄂电司jz供营销〔2025〕12号)； （3）《GWjz供电公司关于印发业扩报装业务工作规范要点的通知》（鄂电司jz供营销〔2025〕23号)； （4）中共GWjz供电公司纪律检查委员会关于印发《防治“三指定”问题“三管住三不准”工作规定（试行）》的通知（鄂电司jz供纪发〔2025〕8号）； （5）各单位分别提供《党委会议纪要》（违规人员处理意见）； （6）用户受电工程关键岗位廉政从业承诺书； （7）业扩报装竣工资料； （8）高压用户新装（增容）归档清单。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""用户受电工程“三指定”"" 的整改措施是什么？",严格对照GW《用户受电工程“三指定”典型行为检查认定标准》（营销营商〔2025〕71号），持续开展“三指定”问题专项治理行动，再次清查2024-2025年归档高压业扩资料，建立问题台账，确保问题清零见底，坚决杜绝“三指定”问题发生。严禁原集体企业提前介入业扩报装关键环节，原集体企业人员不得参与供电方案编制、图纸审查、中间检查、竣工检验等办电环节。加强营纪协同监督，强化95598 电话回访中“三指定”问题线索即时转办机制，对发现的线索开展“四不两直”现场检查，对发现的问题按照公司《关于防治“三指定”问题“三管住三不准”工作规定（试行）》（鄂电司jz供纪发〔2025〕8号）处置。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""用户受电工程“三指定”"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场的情况实施监管。《供电监管办法》第18、第35条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""用户受电工程“三指定”"" 的问题描述是什么？",供电企业利用用电报装权限，指定其关联企业为用户受电工程设计、施工和设备材料供应单位；报装时序倒置、供电方案缺失关键信息，涉嫌关联单位提前介入；业务办理中关联企业和社会企业执行的标准不统一，违规增设接网条件，提高设计、验收门槛，疑似“三指定”问题。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""电压监测不规范，部分用户电压合格率偏低。"" 的印证资料包括哪些？",（1）用户受电端电压合格率、公司电压合格率相关规定文件； （2）定期开展供电质量的专项检查记录； （3）全量带地区供电负荷10（6）kV母线清单； （4）全量110千伏用户以及35千伏专线用户清单； （5）公司电压监测点系统清单、安装台账等； （6）用电设施产生谐波、冲击负荷用户台账及日常监测。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""电压监测不规范，部分用户电压合格率偏低。"" 的整改措施是什么？",依据当前电网状况增设电压监测点，确保监测点数量、监测对象符合标准要求；全面复核D类监测点电压监测仪现场安装情况，确保监测仪安装在台区的首末端，监测仪安装规范、标识清晰准确；全面复核监测点台账，及时整改命名不准确、台账数据缺失或错误等问题；强化监测点、监测仪日常运维与问题处理，做好“监测-分析-评估”闭环管理，及时发现并处理监测点电压合格率下降的情况，确保不发生监测时长不足等问题。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""电压监测不规范，部分用户电压合格率偏低。"" 的监管依据是什么？",电力监管机构对供电企业的供电质量实施监管。《供电监管办法》第7条、第8条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""电压监测不规范，部分用户电压合格率偏低。"" 的问题描述是什么？",未实时根据电网发展增设电压监测点；部分监测点设置不满足规范性要求；监测点监测数据缺失、电压合格率偏低等问题处理不够及时；监测点台账设置、监督装置校验、巡视等日常运维工作不到位。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""电网事故应急处置不规范"" 的印证资料包括哪些？",（1）事故限电序位表及政府批复； （2）查询调度日志无限电记录； （3）跳闸报告； （4）设备检修停运计划； （5）用户停电联系函。 （二）可再生能源消纳保障机制落实方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""电网事故应急处置不规范"" 的整改措施是什么？",梳理停电、限电、中止供电全环节管理要求，修订完善标准化流程，明确各环节审批权限、操作规范、时限要求及责任主体。细化故障停电、有序限电等不同场景的处置流程，编制统一的操作手册与表单模板，确保各环节有章可循、有据可依。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""电网事故应急处置不规范"" 的监管依据是什么？",电力监管机构对供电企业实施停电、限电或者中止供电的情况，以及实施电力需求侧管理进行监管。《供电监管办法》第13条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""电网事故应急处置不规范"" 的问题描述是什么？",对因电网发生故障或者电力供需紧张等原因需要停电、限电的，部分单位未按电力主管批准的有序用电方案或者事故应急处置方案执行。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""自然垄断环节和竞争性环节界面不清晰"" 的印证资料包括哪些？",（1）《关于开展营销2.0账号权限清理工作的通知》（jz供营销传[2025]13号）； （2）《关于进一步加强营销2.0账号及访问权限管理的通知》（省传真[2025]55号）； （3）《关于开展营销2.0账号权限再清理及常用IP地址绑定工作的通知》（省传真[2025]118号）； （4）《GW湖北省电力有限公司关于印发营销专业信息系统账号权限管理工作指引的通知》（鄂电司营销〔2025〕25号）； （5）集体企业IP封禁访问营销2.0系统相关； （6）营销2.0系统账号权限申请流程管理印证； （7）营销2.0系统账号台账； （8）业扩报装竣工验收资料； （9）业扩报装会议通知及纪要等； （10）主辅人员岗位花名册。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""自然垄断环节和竞争性环节界面不清晰"" 的整改措施是什么？",落实自然垄断环节独立运营和竞争性环节市场化改革要求，厘清“业务管理、信息系统、办公场所、人员岗位”四个界面，健全治理长效机制，推进关联企业在人员、财务、业务信息及办公地点等方面实现有效隔离，确保业务边界清晰。严格执行干部调整预审、人员借用审批流程，规范原集体企业及供电服务公司人力资源管理，组织开展人员混用专项抽查检查和问题整改“回头看”。督导供电服务公司坚决退出市场化业务，杜绝既从事供电服务、又承揽市场化工程情况。加强绩效考核管控，督促各单位不得对原集体企业设置市场化业务占有率等指标，不得在考核内容中要求所属单位协助原集体企业开展市场拓展、工程款清收等内容。实行营销2.0系统账号实名制认证、办公电脑IP地址绑定以及异地登录动态验证码管理。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""自然垄断环节和竞争性环节界面不清晰"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场的情况实施监管。《供电监管办法》第18、第35条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""自然垄断环节和竞争性环节界面不清晰"" 的问题描述是什么？",存在供电企业与集体企业混合经营，人员交叉混岗，原集体企业人员违规介入业扩报装环节和违规使用营销2.0系统账号。供电企业对关联企业人财物全面统管或交叉任职，利用电网自然垄断优势，通过绩效考核、无偿划拨资产、输送利益等形式为关联企业提供系统性支撑，帮助关联企业“降本增效”。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""诉求客户重复低电压未闭环治理"" 的印证资料包括哪些？",（1）《GWjz供电公司关于开展低电压工单闭环治理的通知》； （2）95598低电压投诉、意见工单明细表； （3）95598低电压意见工单督办单； （4）95598低电压投诉、意见工单整改印证资料； （5）2025年省公司通报jz重复诉求客户低电压280户清单明细以及整改印证资料； （6）《供电服务监管日报》中通报的低电压案例及整治情况。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""诉求客户重复低电压未闭环治理"" 的整改措施是什么？",定期督办95598低电压投诉、意见工单，收集印证资料，确保客户合理诉求得到解决；建立诉求客户重复低电压清单，跟踪治理情况，定期收集整改印证资料，确保低电压工单闭环治理。对低电压典型问题纳入《供电服务监管日报》，跟踪治理质效，发布负面案例整改情况报告。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""诉求客户重复低电压未闭环治理"" 的监管依据是什么？",电力监管机构对供电企业的供电质量实施监管。《供电监管办法》第7条，《供电营业规则》第7条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""诉求客户重复低电压未闭环治理"" 的问题描述是什么？",对客户反映的低电压问题未开展常态化、长效化整治。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""转嫁会收取不合理费用"" 的印证资料包括哪些？",（1）35千伏及以上变电站接入一类业扩项目清单； （2）35千伏及以上变电站接入一类业扩项目回购台账及相关佐证； （3）35千伏及以上迁改项目台账、合同及招标资料； （4）变电站间隔数量及各电压等级未使用间隔台账。 四、配电部 （一）民生用电服务方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""转嫁会收取不合理费用"" 的整改措施是什么？",落实《发电企业投资建设新能源接网工程回购方案（变电间隔部分）》（鄂电司发展〔2025〕58号）要求，制定间隔回购清单和时间表，函询业主回购意愿，对业主同意电网企业回购的工程签订预回购意向书，力争到2026年底对具备条件的项目做到“应回购、尽回购、合规回购”。对变电站接入间隔运维费、杆塔租赁费等协商退费事宜。对于后续新增的站内设备，落实《GW湖北省电力有限公司35千伏及以上业扩配套电网项目实施方案》（鄂电司办〔2025〕25号）要求，由电网企业投资建设，做到同时施工、同时投产。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""转嫁会收取不合理费用"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场的情况实施监管。《供电监管办法》第10条、第11条、第18条、第34条、第35条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""转嫁或收取不合理费用，回购进度缓慢。"" 的印证资料包括哪些？",（1）110kV及以上电压等级已送电用电户管理台账及资料档案； 已并网发电厂站管理台账及资料档案； 已并网储能项目管理台账及资料档案； 已并网6MW及以上分布式光伏管理台账及资料档案； （5）用电户、发电、储能及分布式光伏（业扩二类）回购清单及相关资料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""转嫁或收取不合理费用，回购进度缓慢。"" 的整改措施是什么？",落实《发电企业投资建设新能源接网工程回购方案（变电间隔部分）》（鄂电司发展〔2025〕58号）要求，制定间隔回购清单和时间表，函询业主回购意愿，对业主同意电网企业回购的工程签订预回购意向书，力争到2026年底对具备条件的项目做到“应回购、尽回购、合规回购”。严格执行《GW湖北省电力有限公司电源接入和电网互联前期工作管理实施细则》（鄂电司发展〔2025〕9号），超前储备需求、提速前期建设，落实业扩配套相关要求，确保变电站间隔及站内设备全部由公司投资建设。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""转嫁或收取不合理费用，回购进度缓慢。"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场及办理用电业务的情况实施监管。《供电监管办法》第10条、第11条、第18条、第34条、第35条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""转嫁或收取不合理费用，回购进度缓慢。"" 的问题描述是什么？",供电企业在电源项目接入过程中，将应由自身承担的电网侧设备费用转嫁给发电企业。2025年以来，电网企业持续加大新能源项目送出工程建设力度，但对存量送出等工程的回购较为缓慢。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""转嫁电网投资，增加用户成本。"" 的印证资料包括哪些？",（1）《关于印发清理规范城镇供水供电供气供暖行业收费促进行业高质量发展实施意见的通知》（鄂发改价格〔2021〕88号）； （2）《省能源局省住建厅省市场监管局关于印发湖北省城镇建设住宅和工商业电力设施建设指南的通知》（鄂能源调度〔2022〕16）； （3）《GWjz供电公司关于印发10千伏及以下业扩配套电网项目优化实施方案的通知》（鄂电司jz供〔2022〕31号）； （4）《GW湖北经研院关于GW湖北省电力有限公司2024 年新建住宅小区计量装置新装及调试项目可行性研究报告评审的意见》（电经研规评〔2024〕500号）； （5）《GW湖北经研院关于GW湖北省电力有限公司2025年新建住宅小区计量装置新装及调试项目可行性研究报告评审的意见》（电经研规评〔2025〕44号）； （6）分布式光伏并网项目台账； （7）新建小区台账； （8）回购台账及相关佐证。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""转嫁电网投资，增加用户成本。"" 的整改措施是什么？",严格执行省侧《关于进一步明确用户侧计量装置出资方式的通知》（鄂电司营销〔2025〕6号），电能表、计量专用互感器由供电企业出资，在供电方案答复时同步告知用户供电企业出资的计量专用互感器设备参数，确保用户知晓出资政策。加强业扩接入环节管控和日常稽查，严查供电方案、供用电合同产权分界点等关键信息，全面规范分界开关、DTU、TTU等电网侧设备出资。落实省侧《关于进一步强化执行电力接入工程费用分担机制的通知》（鄂电司办〔2025〕26号）要求，深化政企协同，确保电力接入工程费用分担机制规范执行。建立回购台账，签订回购协议书，会同发展部按照“成熟一个、回购一个”依法合规推进。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""转嫁电网投资，增加用户成本。"" 的监管依据是什么？",电力监管机构对供电企业履行电力社会普遍服务义务及电价政策和收费标准的的情况实施监管。《供电监管办法》第10条、第19条、第34条、第36条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""转嫁电网投资，增加用户成本。"" 的问题描述是什么？",部分单位存在用户工程或分布式光伏项目转嫁电网投资成本，违规收取不合格费用，增加用户成本；未严格执行电能表、互感器等计量装置由公司出资政策；转嫁电网投资设施回购机制不健全；红线外投资政策执行不到位。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""转嫁电网投资，收取不合理费用。"" 的印证资料包括哪些？",（1）《GWjz供电公司关于印发10千伏及以下业扩配套电网项目优化实施方案的通知》（鄂电司jz供〔2022〕31号）； （2）10千伏以下低压业扩配套工程清单； （3）10千伏高压业扩配套工程清单； 业扩配套项目工程回购明细表及相关资料； 配网迁改项目完整台账； （6）迁改项目、业扩配套立项佐证文件（甲方相关申请）、招标文件、中标通知书及施工合同。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""转嫁电网投资，收取不合理费用。"" 的印证资料包括哪些？",（1）提供专线用户《继电保护定值通知单》及定值报备资料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""转嫁电网投资，收取不合理费用。"" 的整改措施是什么？",制定间隔回购清单和时间表，函询业主回购意愿，对业主同意电网企业回购的工程签订预回购意向书，协助发展部2026年底对具备条件的项目做到“应回购、尽回购、合规回购”。对于后续新增10千伏间隔等配网设备，落实《GW湖北省电力有限公司关于印发10千伏及以下业扩配套电网项目优化实施方案的通知》（鄂鄂电司办〔2022〕13号）要求，核查供电方案、供用电合同产权分界点等关键信息，全面规范分界开关、DTU、TTU 等电网侧设备出资，由电网企业投资建设，做到同时施工、同时投产。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""转嫁电网投资，收取不合理费用。"" 的整改措施是什么？",及时纠正执行偏差。对于擅自扩大用户侧继电保护装置、安全自动装置与电网侧继电保护方式的配合范围，或由用户承担电网侧继电保护装置、安全自动装置费用的情况进行排查、核实，按《发电企业投资建设新能源接网工程回购方案》 （鄂电司发展〔2025〕58 号），制定继电保护装置、安全自动装置回购清单和时间表，2026年实行回购继电保护、安全自动装置或退费。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""转嫁电网投资，收取不合理费用。"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场的情况实施监管。《供电监管办法》第10条、第11条、第18条、第34条、第35条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""转嫁电网投资，收取不合理费用。"" 的监管依据是什么？",电力监管机构对供电企业履行电力社会普遍服务义务及电价政策和收费标准的的情况实施监管。《供电监管办法》第10条、第19条、第34条、第36条,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""转嫁电网投资，收取不合理费用。"" 的问题描述是什么？",存在转嫁10千伏及以下电网出资建设变电站接入间隔（含环网箱、开闭所、分解开关等）项目投资；违规投资新兴产业充电配套设施；10千伏迁改项目未按规定实施招标管理。存在虚假立项、重复投资或超标准建设等情况。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""转嫁电网投资，收取不合理费用。"" 的问题描述是什么？",存在擅自扩大用户侧继电保护装置、安全自动装置与电网侧继电保护方式的配合范围；部分单位存在转嫁用户承担电网侧继电保护、违规收取保护定值整定费用等问题。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""违规减免考核费用"" 的印证资料包括哪些？",新能源电厂“两个细则”考核全流程机制。 七、财务部,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""违规减免考核费用"" 的整改措施是什么？",按新版“两个细则”考核条款完善考核程序，建立考核计算、复核、审批、公示的全流程机制，确保“两个细则”考核规范执行。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""违规减免考核费用"" 的监管依据是什么？",电力监管机构对供电企业履行电力社会普遍服务义务及电价政策和收费标准的的情况实施监管。《供电监管办法》第10条、第19条、第34条、第36条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""违规减免考核费用"" 的问题描述是什么？",新能源电厂未严格落实“两个细则”考核执行条款，考核执行流程不规范。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""违规帮助“两高”“两违”项目申请用电"" 的印证资料包括哪些？",（1）《省经信委 省发改委 省物价局 华中电监局关于进一步规范新增高耗能项目用电业扩报装及差别电价审查工作的通知》(鄂经信电力〔2011〕330号)； （2）《关于进一步规范高耗能、高排放行业业扩报装管理的紧急通知》国家电网营销〔2011〕813号； （3）《关于开展业扩报装领域突出问题专项整治细化实施方案》（鄂电司纪发〔2023〕8号)； （4）《关于开展业扩报装领域突出问题专项整治细化实施方案》（鄂电司jz供纪发〔2023〕5号）； （5）“两违、两高”客户清单及相关资料； （6）新建小区业扩报装竣工资料； （二）电网企业利用自然垄断优势向上下游延伸方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""违规帮助“两高”“两违”项目申请用电"" 的整改措施是什么？",严把高耗能项目的业扩报装关，凡涉及8类高耗能行业新建项目，未经政府主管部门出具的书面审查意见，供电企业不得受理申请用电，确保合规高耗能企业(项目)正常投产。重点清查2024年以来大电量、负荷平均的大工业用电项目以及与报装容量类别容量不符或异常项目。严禁受理国有土地使用证、建设用地规划许可证、建设工程施工许可证等证照不全的新建住宅小区申请用电。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""违规帮助“两高”“两违”项目申请用电"" 的监管依据是什么？",电力监管机构对供电企业执行国家有关节能减排和环境保护政策的情况实施监管。《供电监管办法》第24条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""违规帮助“两高”“两违”项目申请用电"" 的问题描述是什么？",存在违规受理国家明令禁止和限制的电解铝、铁合金、电池等“两高”（高耗能、高排放）项目的申请用电；违规帮助“两违”（违法占地、违法建设）项目申请用电；违规受理未履行节能审查或节能审查未通过即擅自开工建设项目的申请用电；未严格执行政府有关部门依法作出的对淘汰企业、关停企业或者环境违法企业采取停限电措施的决定。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""重要电力用户检查及隐患告知、报备不规范。"" 的印证资料包括哪些？",（1）高危及重要客户管理标准化作业指导书； （2）《GWjz供电公司关于下达强化重要电力用户安全管理二十条措施的通知》（鄂电司jz供营销〔2024〕6号）； （3）关于整改jz市高危及重要客户用电安全隐患的请示； （4）关于确定jz市高危及重要电力用户名单的批复； （5）重要电力用户或自备应急电源基础档案台账。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""重要电力用户检查及隐患告知、报备不规范。"" 的整改措施是什么？",开展重要电力日常监管。依照《用电检查规范》（GB T43456-2023）要求，对于检查发现的用电安全缺陷隐患，应现场开具《用电检查结果通知书》，由用户签字认可。严格规范隐患报备管理。对于检查发现的用电安全缺陷隐患，属地供电单位要及时函报属地政府主管部门。对重要电力用户供电方案答复提级管控。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""重要电力用户检查及隐患告知、报备不规范。"" 的监管依据是什么？",电力监管机构对供电企业保障供电安全的情况实施监管。《供电监管办法》第9条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""重要电力用户检查及隐患告知、报备不规范。"" 的问题描述是什么？",建立重要电力用户或自备应急电源基础档案数据库不全；对重要电力日常监管不力；对发现用电设施存在安全隐患，部分单位未报备属地电力主管部门；对重要电力用户供电方案答复未按国家规定配置电源或自备应急电源。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
10千伏及以下业扩配套适用范围有哪些？,10千伏及以下业扩配套电网项目，是指为满足客户新装、增容、“转改直”等业扩报装需求引起的10千伏及以下电业等级的公共电网（含变电站间隔、开闭所、环网箱、变压器、配电线路、用户分界开关、计量互感器等）新建或改造，由电网企业投资且在综合计划下达阶段未能对应项目明细的专项工程项目。（摘自鄂电司办〔2022〕13号）,业扩报装合规管理问答11112.docx,qa,
“三指定”主要表现形式有哪些？,（一）直接指定设计、施工、设备材料供应单位 （二）授意特定单位介入业扩报装环节 （三）设置供电方案答复门槛影响用户选择设计、施工 或设备材料供应单位 （四）设置审查、检验门槛影响用户选择设计、施工单位 （五）设置接电门槛影响用户选择施工单位 （六）指定特定单位代建政府工程或用户受电工程 （七）供电企业与原集体企业混同经营、人员交叉混岗 （八）超承载能力承揽用户受电工程。（摘自营销营商〔2025〕71 号）,业扩报装合规管理问答11112.docx,qa,
